Crops,States,Season,Area-2020-21(Lakh ha),Area-2021-22(Lakh ha),Area-2022-23(Lakh ha),Area-2023-24(Lakh ha),Area-2024-25(Lakh ha),Production-2020-21(Lakh Tonnes),Production-2021-22(Lakh Tonnes),Production-2022-23(Lakh Tonnes),Production-2023-24(Lakh Tonnes),Production-2024-25(Lakh Tonnes),Yield-2020-21(Kg/ha),Yield-2021-22(Kg/ha),Yield-2022-23(Kg/ha),Yield-2023-24(Kg/ha),Yield-2024-25(Kg/ha)
Maize,Chandigarh,Kharif,,,,,,,,,,,3000.0,2875.0,2875.0,3000.0,
Maize,Chhattisgarh,Kharif,1.14,1.31,1.2,1.09,1.21,3.41,3.94,3.93,3.44,3.83,2996.0,3017.0,3267.0,3144.0,3172.0
Maize,Delhi,Kharif,,,,,,,,,,,5091.0,5100.0,5120.0,5111.0,
Maize,Gujarat,Kharif,2.87,2.95,2.88,2.82,2.86,4.36,5.75,5.49,5.69,4.22,1521.0,1950.0,1906.0,2013.0,1474.0
Maize,Gujarat,Rabi,1.02,0.96,1.06,1.16,1.34,2.32,2.42,2.9,3.24,3.52,2265.0,2521.0,2748.0,2806.0,2623.0
Maize,Gujarat,Summer,,,0.07,0.07,0.08,,,0.18,0.16,0.17,,,2562.0,2296.0,2234.0
Maize,Haryana,Kharif,0.07,0.05,0.05,0.05,0.04,0.2,0.16,0.16,0.18,0.13,3026.0,3133.0,3328.0,3685.0,3011.0
Maize,Himachal Pradesh,Kharif,2.67,2.63,2.56,2.53,2.53,7.29,7.81,6.78,6.08,7.47,2727.0,2970.0,2654.0,2403.0,2951.0
Maize,Jammu And Kashmir,Kharif,2.89,2.93,2.76,2.88,,5.09,5.81,5.47,5.88,,1759.0,1986.0,1979.0,2041.0,
Maize,Jharkhand,Kharif,2.86,2.73,2.09,2.59,2.74,6.23,6.07,4.08,5.45,6.49,2181.0,2225.0,1952.0,2099.0,2370.0
Maize,Jharkhand,Rabi,0.12,0.12,0.31,0.1,0.12,0.28,0.29,0.5,0.21,0.27,2305.0,2373.0,1622.0,2067.0,2251.0
Maize,Karnataka,Kharif,15.32,13.98,15.46,17.45,15.86,46.74,45.18,46.15,47.53,50.21,3051.0,3231.0,2985.0,2724.0,3166.0
Maize,Karnataka,Rabi,1.94,1.94,2.95,1.92,2.68,6.88,7.02,10.3,7.46,9.62,3546.0,3621.0,3490.0,3884.0,3589.0
Maize,Karnataka,Summer,,,0.71,0.35,0.48,,,2.67,1.3,1.8,,,3755.0,3718.0,3743.0
Maize,Kerala,Kharif,,,,,,,,,,,1423.0,2125.0,3091.0,2675.0,2784.0
Maize,Kerala,Rabi,,,,,,,,,,,963.0,2731.0,3390.0,2591.0,3153.0
Maize,Kerala,Summer,,,,,,,,,,,,,1286.0,2342.0,2448.0
Maize,Madhya Pradesh,Kharif,13.83,14.0,14.48,15.3,20.77,37.94,46.07,46.21,42.74,57.89,2743.0,3291.0,3191.0,2794.0,2787.0
Maize,Madhya Pradesh,Rabi,0.22,,,,2.1,0.88,,,,7.9,3999.0,,,,3762.0
Maize,Madhya Pradesh,Summer,,,,0.13,0.27,,,,0.65,1.31,,,,4972.0,4860.0
Maize,Maharashtra,Kharif,7.89,8.11,8.81,9.09,11.16,25.57,21.86,27.13,14.41,33.4,3241.0,2694.0,3080.0,1584.0,2994.0
Maize,Maharashtra,Rabi,3.93,4.4,4.24,3.57,4.84,9.63,13.99,11.31,9.05,13.63,2449.0,3182.0,2669.0,2538.0,2816.0
Maize,Maharashtra,Summer,,,0.41,0.6,0.97,,,0.76,1.04,1.72,,,1854.0,1729.0,1780.0
Maize,Manipur,Kharif,0.19,0.16,,,,0.44,0.35,,,,2362.0,2281.0,,,
Maize,Manipur,Rabi,0.07,0.07,0.07,0.07,,0.16,0.15,0.17,0.16,,2281.0,2232.0,2293.0,2200.0,
Maize,Manipur,Summer,,,0.18,0.17,,,,0.4,0.38,,,,2190.0,2280.0,
Maize,Meghalaya,Kharif,0.18,0.18,0.19,0.19,,0.42,0.42,0.44,0.44,,2300.0,2302.0,2265.0,2265.0,
Maize,Mizoram,Kharif,0.06,0.06,0.11,0.06,,0.12,0.11,0.18,0.09,,1824.0,1720.0,1650.0,1620.0,
Maize,Mizoram,Rabi,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,,1602.0,1503.0,2210.0,2140.0,
Maize,Nagaland,Kharif,0.64,0.39,0.39,0.39,,1.27,0.61,0.78,0.78,,1988.0,1552.0,2005.0,2000.0,
Maize,Nagaland,Rabi,0.05,0.01,0.05,0.05,,0.11,0.01,0.11,0.11,,1985.0,1903.0,1987.0,1990.0,
Maize,Odisha,Kharif,0.75,0.99,0.81,0.83,0.7,2.2,2.75,2.44,2.88,2.13,2919.0,2783.0,2998.0,3483.0,3049.0
