Crops,States,Season,Area-2020-21(Lakh ha),Area-2021-22(Lakh ha),Area-2022-23(Lakh ha),Area-2023-24(Lakh ha),Area-2024-25(Lakh ha),Production-2020-21(Lakh Tonnes),Production-2021-22(Lakh Tonnes),Production-2022-23(Lakh Tonnes),Production-2023-24(Lakh Tonnes),Production-2024-25(Lakh Tonnes),Yield-2020-21(Kg/ha),Yield-2021-22(Kg/ha),Yield-2022-23(Kg/ha),Yield-2023-24(Kg/ha),Yield-2024-25(Kg/ha)
Nutri/Coarse Cereals,Kerala,Kharif,,,,0.01,,,,,0.01,,1262.0,1595.0,1846.0,885.0,1681.0
Nutri/Coarse Cereals,Kerala,Rabi,,,,,,,,,,,915.0,1830.0,3390.0,1057.0,3153.0
Nutri/Coarse Cereals,Kerala,Summer,,,,,,,,,,,,,1364.0,1728.0,2282.0
Nutri/Coarse Cereals,Ladakh,Rabi,0.06,0.1,0.1,0.1,,0.04,0.22,0.17,0.17,,617.0,2200.0,1692.0,1692.0,
Nutri/Coarse Cereals,Madhya Pradesh,Kharif,19.0,19.55,20.53,21.45,25.6,48.18,57.89,58.74,55.76,69.34,2536.0,2961.0,2861.0,2600.0,2709.0
Nutri/Coarse Cereals,Madhya Pradesh,Rabi,0.47,0.16,0.24,0.19,2.34,1.36,0.32,0.39,0.33,8.41,2893.0,2030.0,1613.0,1740.0,3594.0
Nutri/Coarse Cereals,Madhya Pradesh,Summer,,,,0.13,0.27,,,,0.65,1.31,,,,4972.0,4860.0
Nutri/Coarse Cereals,Maharashtra,Kharif,19.74,18.29,15.54,15.16,17.45,37.06,30.95,33.98,18.95,41.19,1877.0,1692.0,2187.0,1250.0,2361.0
Nutri/Coarse Cereals,Maharashtra,Rabi,21.56,18.79,17.53,19.47,20.3,23.76,27.95,23.15,25.5,30.77,1102.0,1487.0,1321.0,1309.0,1515.0
Nutri/Coarse Cereals,Maharashtra,Summer,,,0.73,1.35,1.72,,,1.04,1.69,2.38,,,1422.0,1252.0,1386.0
Nutri/Coarse Cereals,Manipur,Kharif,0.19,0.16,,,,0.44,0.35,,,,2362.0,2281.0,,,
Nutri/Coarse Cereals,Manipur,Rabi,0.07,0.07,0.07,0.07,,0.16,0.15,0.17,0.16,,2281.0,2232.0,2293.0,2200.0,
Nutri/Coarse Cereals,Manipur,Summer,,,0.18,0.17,,,,0.4,0.38,,,,2190.0,2280.0,
Nutri/Coarse Cereals,Meghalaya,Kharif,0.21,0.21,0.23,0.23,,0.45,0.45,0.47,0.47,,2113.0,2116.0,2082.0,2082.0,
Nutri/Coarse Cereals,Mizoram,Kharif,0.06,0.06,0.11,0.06,,0.12,0.11,0.18,0.09,,1824.0,1720.0,1650.0,1620.0,
Nutri/Coarse Cereals,Mizoram,Rabi,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,,1602.0,1503.0,2210.0,2140.0,
Nutri/Coarse Cereals,Nagaland,Kharif,0.74,0.48,0.51,0.57,,1.38,0.69,0.92,0.98,,1867.0,1442.0,1789.0,1715.0,
Nutri/Coarse Cereals,Nagaland,Rabi,0.06,0.01,0.05,0.05,,0.11,0.01,0.11,0.11,,1896.0,1903.0,1987.0,1990.0,
Nutri/Coarse Cereals,Odisha,Kharif,1.59,2.0,1.74,1.98,1.42,2.75,3.43,3.2,3.83,2.72,1733.0,1716.0,1837.0,1929.0,1918.0
Nutri/Coarse Cereals,Odisha,Rabi,0.03,0.04,,,0.18,0.07,0.1,,,0.82,2614.0,2697.0,,,4440.0
Nutri/Coarse Cereals,Odisha,Summer,,,0.03,0.08,0.08,,,0.07,0.28,0.28,,,2480.0,3445.0,3344.0
Nutri/Coarse Cereals,Puducherry,Kharif,,,,,,,,,,,2412.0,2221.0,2457.0,2972.0,
Nutri/Coarse Cereals,Punjab,Kharif,1.08,1.06,0.94,0.95,0.87,3.95,4.14,4.1,3.62,3.71,3654.0,3893.0,4369.0,3805.0,4257.0
Nutri/Coarse Cereals,Punjab,Rabi,0.06,0.05,0.05,0.05,0.05,0.22,0.15,0.19,0.19,0.2,3777.0,3096.0,3859.0,3737.0,3790.0
Nutri/Coarse Cereals,Rajasthan,Kharif,58.91,52.99,61.26,56.32,59.68,73.42,62.35,77.23,69.03,78.9,1246.0,1177.0,1261.0,1226.0,1322.0
Nutri/Coarse Cereals,Rajasthan,Rabi,2.87,2.16,3.47,3.01,3.66,10.19,8.01,12.12,11.43,13.02,3553.0,3703.0,3496.0,3791.0,3553.0
Nutri/Coarse Cereals,Rajasthan,Summer,,,0.27,0.31,,,,0.43,0.46,,,,1590.0,1470.0,
Nutri/Coarse Cereals,Sikkim,Kharif,0.4,0.4,0.38,0.31,,0.7,0.7,0.67,0.55,,1733.0,1736.0,1781.0,1750.0,
Nutri/Coarse Cereals,Sikkim,Rabi,,,,,,,,,,,1168.0,,1175.0,1181.0,
Nutri/Coarse Cereals,Tamil Nadu,Kharif,6.12,5.44,5.06,5.26,4.72,23.6,22.23,21.9,22.85,18.24,3855.0,4087.0,4330.0,4349.0,3862.0
Nutri/Coarse Cereals,Tamil Nadu,Rabi,3.68,4.11,3.7,3.75,4.38,11.1,13.69,12.85,10.94,14.56,3015.0,3334.0,3474.0,2917.0,3320.0
Nutri/Coarse Cereals,Tamil Nadu,Summer,,,0.41,0.5,0.47,,,1.45,1.36,1.35,,,3568.0,2703.0,2886.0
Nutri/Coarse Cereals,Telangana,Kharif,1.4,3.09,2.71,2.33,2.38,4.45,13.33,11.66,9.66,10.54,3179.0,4314.0,4303.0,4147.0,4433.0
Nutri/Coarse Cereals,Telangana,Rabi,2.21,1.77,3.17,3.71,4.47,14.78,10.16,18.28,20.68,22.64,6687.0,5739.0,5767.0,5574.0,5060.0
Nutri/Coarse Cereals,Tripura,Kharif,0.16,0.16,0.12,0.12,,0.26,0.28,0.23,0.23,,1593.0,1738.0,1880.0,1880.0,
Nutri/Coarse Cereals,Tripura,Rabi,0.07,0.05,0.04,0.04,,0.18,0.13,0.13,0.13,,2491.0,2637.0,3505.0,3505.0,
Nutri/Coarse Cereals,Uttar Pradesh,Kharif,18.02,17.74,19.87,21.87,14.3,39.35,36.93,41.52,45.3,28.17,2184.0,2082.0,2089.0,2071.0,1970.0
Nutri/Coarse Cereals,Uttar Pradesh,Rabi,2.21,2.21,2.03,1.85,2.07,6.69,6.55,6.2,5.16,6.26,3028.0,2962.0,3056.0,2787.0,3025.0
Nutri/Coarse Cereals,Uttar Pradesh,Summer,,,0.49,2.5,3.06,,,1.41,7.95,9.57,,,2878.0,3178.0,3129.0
Nutri/Coarse Cereals,Uttarakhand,Kharif,1.58,1.54,1.32,1.26,1.23,2.42,2.53,2.15,2.08,2.01,1534.0,1640.0,1627.0,1652.0,1637.0
Nutri/Coarse Cereals,Uttarakhand,Rabi,0.22,0.2,0.2,0.18,0.14,0.28,0.29,0.28,0.25,0.2,1272.0,1464.0,1421.0,1368.0,1431.0
Nutri/Coarse Cereals,Uttarakhand,Summer,,,,,0.01,,,0.01,0.01,0.03,,,3000.0,3220.0,3225.0
Nutri/Coarse Cereals,West Bengal,Kharif,0.59,0.59,0.58,0.58,0.4,1.7,1.66,1.96,2.07,1.6,2877.0,2822.0,3391.0,3591.0,3985.0
Nutri/Coarse Cereals,West Bengal,Rabi,3.09,3.1,1.67,2.0,2.05,22.74,23.67,10.45,13.77,14.5,7358.0,7649.0,6244.0,6869.0,7073.0
Nutri/Coarse Cereals,West Bengal,Summer,,,1.43,1.42,1.63,,,10.41,10.28,11.85,,,7300.0,7239.0,7270.0
Nutri/Coarse Cereals,Others,Kharif,,,,,5.14,,,,,9.37,,,,,1823.0
Nutri/Coarse Cereals,Others,Rabi,,,,,0.45,,,,,0.81,,,,,1807.0
Nutri/Coarse Cereals,Others,Summer,,,,,0.17,,,,,0.38,,,,,2280.0
Cereals,Andaman And Nicobar Islands,Kharif,0.06,0.06,0.05,0.05,,0.13,0.13,0.11,0.1,,2137.0,2137.0,2107.0,2101.0,
Cereals,Andhra Pradesh,Kharif,16.99,17.16,16.55,15.55,16.32,47.78,48.69,56.34,53.54,57.62,2813.0,2837.0,3404.0,3443.0,3531.0
Cereals,Andhra Pradesh,Rabi,11.32,10.67,9.89,8.24,9.34,54.26,51.53,54.31,42.29,46.42,4795.0,4829.0,5491.0,5135.0,4970.0
Cereals,Andhra Pradesh,Summer,,,0.04,0.03,0.03,,,0.08,0.06,0.07,,,2027.0,2108.0,2320.0
Cereals,Arunachal Pradesh,Kharif,2.01,2.06,2.08,2.09,,3.37,3.46,3.49,3.51,,1676.0,1678.0,1683.0,1683.0,
Cereals,Arunachal Pradesh,Rabi,0.14,0.16,0.16,0.15,,0.25,0.28,0.28,0.27,,1772.0,1767.0,1769.0,1769.0,
Cereals,Assam,Kharif,20.27,20.31,20.01,19.68,18.78,42.94,37.11,47.16,45.96,40.56,2119.0,1827.0,2357.0,2335.0,2160.0
Cereals,Assam,Rabi,3.89,3.79,0.09,0.71,0.74,10.85,8.56,0.12,3.32,3.47,2785.0,2256.0,1322.0,4653.0,4692.0
Cereals,Assam,Summer,,,3.75,3.78,3.65,,,11.06,11.64,10.26,,,2949.0,3080.0,2812.0
Cereals,Bihar,Kharif,31.66,32.2,29.97,32.74,33.62,68.46,78.16,73.25,83.23,89.08,2163.0,2427.0,2444.0,2542.0,2650.0
Cereals,Bihar,Rabi,27.45,27.89,26.16,28.43,27.56,81.6,88.14,94.34,112.35,104.19,2973.0,3161.0,3606.0,3952.0,3781.0
Cereals,Bihar,Summer,,,2.12,2.41,2.24,,,11.7,12.45,11.58,,,5526.0,5156.0,5168.0
Cereals,Chandigarh,Kharif,,,,,,,,,,,5273.0,5240.0,3843.0,4768.0,
Cereals,Chandigarh,Rabi,0.01,0.01,0.01,0.01,,0.02,0.03,0.03,0.03,,4500.0,5000.0,4696.0,5000.0,
Cereals,Chhattisgarh,Kharif,39.97,39.46,39.39,39.76,40.64,75.29,84.44,102.28,100.73,89.38,1884.0,2140.0,2597.0,2534.0,2199.0
Cereals,Chhattisgarh,Rabi,1.62,1.57,1.34,1.35,1.56,2.49,1.93,1.9,1.82,2.36,1543.0,1226.0,1424.0,1349.0,1514.0
Cereals,Dadra And Nagar Haveli,Kharif,0.17,0.17,0.19,0.19,,0.34,0.34,0.38,0.38,,2056.0,2049.0,2039.0,2036.0,
Cereals,Daman And Diu,Kharif,0.02,0.02,,,,0.04,0.04,,,,1841.0,1832.0,,,
Cereals,Delhi,Kharif,0.1,0.1,0.1,0.1,,0.28,0.26,0.25,0.25,,2676.0,2464.0,2483.0,2483.0,
Cereals,Delhi,Rabi,0.19,0.18,0.17,0.17,,0.84,0.82,0.81,0.8,,4356.0,4499.0,4648.0,4650.0,
Cereals,Goa,Kharif,0.23,0.23,0.23,0.23,,0.62,0.66,0.63,0.68,,2627.0,2816.0,2789.0,2890.0,
Cereals,Goa,Rabi,0.09,0.09,0.09,0.09,,0.26,0.25,0.25,0.27,,2790.0,2742.0,2842.0,2983.0,
Cereals,Gujarat,Kharif,16.29,16.09,13.76,13.94,13.83,34.47,36.21,30.91,31.18,27.26,2115.0,2251.0,2246.0,2236.0,1971.0
Cereals,Gujarat,Rabi,12.04,12.24,11.85,13.85,14.3,37.18,38.08,37.75,41.39,43.86,3089.0,3110.0,3185.0,2988.0,3068.0
Cereals,Gujarat,Summer,,,4.04,4.25,4.53,,,12.15,12.4,13.29,,,3005.0,2916.0,2936.0
Cereals,Haryana,Kharif,19.34,17.92,20.78,21.15,22.06,58.12,57.66,63.39,71.65,73.35,3004.0,3217.0,3051.0,3387.0,3325.0
Cereals,Haryana,Rabi,25.73,23.08,23.36,23.82,24.16,124.25,104.58,109.75,112.37,115.21,4829.0,4531.0,4698.0,4718.0,4770.0
Cereals,Himachal Pradesh,Kharif,3.39,3.33,3.26,3.26,3.26,8.73,9.51,8.11,7.83,9.07,2572.0,2860.0,2488.0,2402.0,2783.0
Cereals,Himachal Pradesh,Rabi,3.54,3.38,3.37,3.34,3.36,6.02,5.8,6.19,8.16,7.27,1704.0,1715.0,1839.0,2445.0,2163.0
Cereals,Jammu And Kashmir,Kharif,5.78,5.72,5.69,5.66,,10.99,10.8,11.62,12.39,,1901.0,1888.0,2042.0,2190.0,
Cereals,Jammu And Kashmir,Rabi,2.48,2.9,2.91,2.91,,4.86,5.89,5.91,5.91,,1962.0,2031.0,2029.0,2029.0,
Cereals,Jharkhand,Kharif,17.18,17.38,10.82,13.92,17.83,33.94,35.55,19.16,20.92,34.74,1976.0,2045.0,1771.0,1503.0,1949.0
Cereals,Jharkhand,Rabi,2.45,2.4,2.35,2.38,2.61,5.72,5.48,4.89,5.02,5.66,2335.0,2287.0,2077.0,2108.0,2173.0
Cereals,Karnataka,Kharif,36.91,35.04,35.14,36.41,36.23,96.61,90.83,92.14,89.05,97.19,2618.0,2592.0,2622.0,2446.0,2683.0
Cereals,Karnataka,Rabi,14.18,12.89,10.26,11.25,10.13,28.24,27.22,20.54,18.84,18.84,1991.0,2112.0,2002.0,1675.0,1860.0
Cereals,Karnataka,Summer,,,3.73,0.96,3.53,,,11.56,3.19,10.89,,,3099.0,3321.0,3089.0
Cereals,Kerala,Kharif,1.58,1.51,0.51,0.46,0.42,4.7,3.42,1.37,1.17,1.16,2981.0,2273.0,2713.0,2558.0,2781.0
Cereals,Kerala,Rabi,0.48,0.46,0.71,0.73,0.69,1.64,1.46,2.25,1.96,2.04,3427.0,3188.0,3149.0,2701.0,2961.0
Cereals,Kerala,Summer,,,0.7,0.63,0.66,,,2.34,1.87,2.1,,,3349.0,2938.0,3155.0
Cereals,Ladakh,Rabi,0.1,0.14,0.15,0.15,,0.11,0.29,0.24,0.24,,1038.0,2016.0,1649.0,1649.0,
Cereals,Madhya Pradesh,Kharif,39.8,40.64,54.67,55.85,63.93,91.05,106.04,128.96,126.87,157.65,2288.0,2609.0,2359.0,2272.0,2466.0
Cereals,Madhya Pradesh,Rabi,61.67,65.16,71.74,75.16,80.43,184.45,230.1,227.69,226.14,243.61,2991.0,3531.0,3174.0,3009.0,3029.0
Cereals,Madhya Pradesh,Summer,,,,0.53,0.78,,,,1.93,2.95,,,,3646.0,3784.0
Cereals,Maharashtra,Kharif,34.46,33.78,31.09,30.41,32.66,67.33,63.9,68.53,53.57,76.81,1954.0,1892.0,2204.0,1762.0,2352.0
Cereals,Maharashtra,Rabi,33.71,31.14,29.72,29.94,31.82,47.11,52.42,46.89,45.38,52.79,1398.0,1684.0,1578.0,1516.0,1659.0
Cereals,Maharashtra,Summer,,,2.36,3.02,3.43,,,5.49,6.06,6.85,,,2326.0,2005.0,1998.0
Cereals,Manipur,Kharif,0.49,0.21,0.06,0.06,,1.22,0.51,0.18,0.17,,2486.0,2459.0,3091.0,2970.0,
Cereals,Manipur,Rabi,2.04,2.04,0.1,0.09,,5.45,5.73,0.23,0.22,,2668.0,2807.0,2338.0,2295.0,
Cereals,Manipur,Summer,,,1.99,1.81,,,,3.71,3.69,,,,1867.0,2035.0,
Cereals,Meghalaya,Kharif,1.15,1.16,1.18,1.18,,2.77,2.79,2.69,2.55,,2410.0,2405.0,2285.0,2161.0,
Cereals,Meghalaya,Rabi,0.14,0.14,0.13,0.13,,0.64,0.64,0.57,0.57,,4540.0,4538.0,4509.0,4509.0,
Cereals,Mizoram,Kharif,0.41,0.41,0.45,0.3,,0.73,0.7,0.57,0.48,,1770.0,1737.0,1273.0,1604.0,
Cereals,Mizoram,Rabi,0.01,0.01,0.01,0.01,,0.02,0.02,0.02,0.02,,1834.0,1748.0,1762.0,2113.0,
Cereals,Nagaland,Kharif,2.87,1.7,2.6,2.65,,4.94,2.19,4.56,4.62,,1723.0,1292.0,1756.0,1743.0,
Cereals,Nagaland,Rabi,0.15,0.02,0.1,0.09,,0.29,0.04,0.19,0.18,,1884.0,1768.0,1968.0,1969.0,
Cereals,Odisha,Kharif,38.49,38.48,39.03,38.99,35.59,79.32,84.97,74.01,76.62,87.34,2061.0,2208.0,1896.0,1965.0,2454.0
Cereals,Odisha,Rabi,3.51,3.03,,,0.19,11.6,11.47,,,0.82,3307.0,3782.0,1548.0,1894.0,4408.0
Cereals,Odisha,Summer,,,3.38,3.79,3.66,,,11.76,12.23,11.81,,,3476.0,3224.0,3222.0
Cereals,Puducherry,Kharif,0.04,0.04,0.04,0.04,,0.15,0.13,0.14,0.13,,3322.0,2943.0,3290.0,3137.0,
Cereals,Puducherry,Rabi,0.14,0.15,0.1,0.1,,0.36,0.44,0.32,0.32,,2571.0,2992.0,3137.0,3139.0,
Cereals,Puducherry,Summer,,,0.05,0.05,,,,0.19,0.16,,,,3635.0,3112.0,
Cereals,Punjab,Kharif,30.36,30.75,31.92,32.74,33.31,131.79,133.0,134.01,147.19,147.32,4341.0,4325.0,4198.0,4495.0,4423.0
Cereals,Punjab,Rabi,35.36,35.3,35.4,35.21,35.05,172.08,148.77,168.02,177.56,179.25,4866.0,4214.0,4747.0,5043.0,5114.0
Cereals,Rajasthan,Kharif,61.22,54.95,63.6,59.0,63.22,79.76,67.14,83.0,76.49,88.06,1303.0,1222.0,1305.0,1297.0,1393.0
Cereals,Rajasthan,Rabi,32.89,27.96,31.41,30.41,35.34,120.54,108.96,118.49,108.42,126.84,3665.0,3897.0,3773.0,3565.0,3589.0
Cereals,Rajasthan,Summer,,,0.27,0.31,,,,0.43,0.46,,,,1590.0,1470.0,
Cereals,Sikkim,Kharif,0.49,0.49,0.46,0.38,,0.86,0.86,0.78,0.63,,1756.0,1758.0,1685.0,1664.0,
Cereals,Sikkim,Rabi,,,,,,0.01,,,,,1165.0,1155.0,1170.0,1175.0,
Cereals,Tamil Nadu,Kharif,24.72,25.68,11.99,12.05,11.36,84.97,92.74,47.03,43.75,40.66,3437.0,3611.0,3924.0,3630.0,3578.0
Cereals,Tamil Nadu,Rabi,5.45,6.04,16.38,15.54,16.6,18.54,22.25,55.42,48.73,52.91,3404.0,3686.0,3383.0,3135.0,3188.0
Cereals,Tamil Nadu,Summer,,,2.39,2.93,3.23,,,9.33,10.67,11.94,,,3906.0,3644.0,3701.0
Cereals,Telangana,Kharif,19.4,26.83,28.12,28.07,27.25,58.85,91.67,100.53,103.1,101.06,3033.0,3417.0,3576.0,3673.0,3709.0
Cereals,Telangana,Rabi,16.13,14.65,24.42,24.86,27.72,62.71,56.06,88.25,96.05,103.1,3887.0,3826.0,3614.0,3864.0,3719.0
Cereals,Tripura,Kharif,2.14,2.07,1.91,1.91,,6.11,6.14,6.0,6.0,,2850.0,2964.0,3133.0,3133.0,
Cereals,Tripura,Rabi,0.73,0.7,0.66,0.66,,2.36,2.39,2.25,2.25,,3237.0,3409.0,3397.0,3397.0,
Cereals,Uttar Pradesh,Kharif,74.54,74.5,78.54,79.19,86.55,193.65,188.76,201.85,203.96,230.6,2598.0,2534.0,2570.0,2576.0,2664.0
Cereals,Uttar Pradesh,Rabi,100.99,96.68,97.22,97.17,98.06,362.66,346.93,342.31,358.56,368.68,3591.0,3588.0,3521.0,3690.0,3760.0
Cereals,Uttar Pradesh,Summer,,,0.81,2.86,5.06,,,2.51,9.2,16.45,,,3100.0,3215.0,3252.0
Cereals,Uttarakhand,Kharif,3.96,3.87,3.59,3.47,3.32,9.0,8.77,7.72,7.71,7.59,2272.0,2266.0,2149.0,2225.0,2285.0
Cereals,Uttarakhand,Rabi,3.5,3.42,3.05,2.86,2.72,10.41,9.84,8.59,8.94,8.69,2974.0,2877.0,2818.0,3123.0,3196.0
Cereals,Uttarakhand,Summer,,,0.22,0.23,0.33,,,0.79,0.83,1.17,,,3518.0,3565.0,3561.0
Cereals,West Bengal,Kharif,43.59,43.44,38.27,38.67,42.7,120.25,123.71,109.75,111.54,117.32,2759.0,2848.0,2868.0,2885.0,2748.0
Cereals,West Bengal,Rabi,17.88,18.3,3.48,3.9,3.85,75.37,75.47,16.02,19.7,20.14,4216.0,4123.0,4607.0,5049.0,5230.0
Cereals,West Bengal,Summer,,,14.39,14.52,15.23,,,57.47,57.67,61.04,,,3994.0,3971.0,4008.0
Cereals,Others,Kharif,,,,,14.83,,,,,31.89,,,,,2150.0
Cereals,Others,Rabi,,,,,4.57,,,,,11.09,,,,,2425.0
Cereals,Others,Summer,,,,,1.86,,,,,3.85,,,,,2064.0
Tur,Andaman And Nicobar Islands,Kharif,,,,,,,,,,,100.0,100.0,300.0,810.0,
Tur,Andhra Pradesh,Kharif,2.31,2.51,2.42,2.33,3.73,0.84,0.68,0.78,0.96,1.7,363.0,271.0,323.0,413.0,457.0
Tur,Arunachal Pradesh,Kharif,,0.01,0.01,0.01,,,0.01,0.01,0.01,,,879.0,889.0,891.0,
Tur,Assam,Kharif,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,856.0,858.0,865.0,860.0,861.0
Tur,Bihar,Kharif,0.15,0.13,0.13,0.14,0.14,0.23,0.21,0.24,0.23,0.2,1606.0,1607.0,1869.0,1688.0,1481.0
Tur,Chhattisgarh,Kharif,0.45,0.43,0.4,0.35,0.34,0.27,0.25,0.28,0.21,0.21,599.0,574.0,691.0,595.0,622.0
Tur,Gujarat,Kharif,2.41,2.51,2.44,2.27,1.73,2.86,2.91,2.84,2.64,2.05,1186.0,1161.0,1163.0,1163.0,1187.0
Tur,Haryana,Kharif,0.01,0.01,,0.01,,0.01,0.01,,0.02,,1250.0,1181.0,1180.0,1180.0,1246.0
Tur,Himachal Pradesh,Kharif,,,,,,,,,,,875.0,875.0,870.0,870.0,869.0
Tur,Jharkhand,Kharif,2.35,2.54,1.84,1.89,2.16,2.6,2.86,2.11,2.17,2.55,1104.0,1129.0,1144.0,1149.0,1176.0
Tur,Karnataka,Kharif,16.31,17.19,12.2,13.65,17.44,12.38,11.45,8.55,10.2,9.98,759.0,666.0,701.0,747.0,572.0
Tur,Kerala,Kharif,,,,,,,,,,,1647.0,1652.0,1680.0,1657.0,1567.0
Tur,Madhya Pradesh,Kharif,2.19,2.25,1.66,1.55,1.79,2.86,1.9,1.26,1.37,1.74,1305.0,844.0,762.0,885.0,970.0
Tur,Maharashtra,Kharif,12.74,13.35,11.76,11.12,11.89,13.28,13.91,9.25,8.93,13.25,1042.0,1042.0,787.0,803.0,1114.0
Tur,Manipur,Kharif,0.01,0.01,0.01,,,0.01,0.01,0.01,,,1018.0,982.0,981.0,840.0,
Tur,Meghalaya,Kharif,0.01,0.01,0.01,0.01,,0.02,0.02,0.02,0.02,,1302.0,1305.0,1305.0,1305.0,
Tur,Mizoram,Kharif,,,,,,,,,,,1030.0,1022.0,1080.0,1120.0,
Tur,Nagaland,Kharif,0.03,,0.01,0.01,,0.03,,0.01,0.01,,919.0,880.0,950.0,951.0,
Tur,Odisha,Kharif,1.3,1.26,1.34,1.34,0.16,1.51,1.31,1.42,1.42,0.18,1166.0,1036.0,1062.0,1062.0,1189.0
Tur,Punjab,Kharif,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,1163.0,1014.0,1107.0,1127.0,1174.0
Tur,Rajasthan,Kharif,0.08,0.07,0.06,0.04,0.03,0.07,0.07,0.06,0.04,0.03,879.0,915.0,899.0,951.0,903.0
Tur,Tamil Nadu,Kharif,0.47,0.48,0.44,0.39,0.6,0.5,0.45,0.45,0.39,0.39,1049.0,936.0,1039.0,987.0,645.0
Tur,Telangana,Kharif,3.26,3.14,2.29,1.79,2.15,2.52,2.41,2.02,1.45,1.99,775.0,769.0,882.0,812.0,927.0
Tur,Tripura,Kharif,0.05,0.05,0.04,0.04,,0.04,0.04,0.03,0.03,,780.0,783.0,797.0,797.0,
Tur,Uttar Pradesh,Kharif,2.96,2.9,3.5,4.24,0.93,2.97,3.55,3.64,3.95,1.14,1005.0,1223.0,1039.0,932.0,1230.0
Tur,Uttarakhand,Kharif,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,1185.0,1066.0,994.0,959.0,1103.0
Tur,West Bengal,Kharif,0.04,0.03,0.03,0.01,0.01,0.05,0.05,0.04,0.02,0.02,1210.0,1569.0,1628.0,1620.0,1800.0
Tur,Others,Kharif,,,,,0.08,,,,,0.07,,,,,912.0
Gram,Andhra Pradesh,Rabi,4.69,4.45,3.29,3.02,2.9,5.33,4.55,4.57,3.0,3.07,1136.0,1023.0,1388.0,994.0,1057.0
Gram,Assam,Rabi,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,739.0,740.0,766.0,837.0,785.0
Gram,Bihar,Rabi,0.52,0.52,0.53,0.81,0.62,0.54,0.54,0.57,0.78,0.65,1052.0,1053.0,1076.0,974.0,1044.0
Gram,Chhattisgarh,Rabi,3.02,3.32,3.06,2.55,3.95,2.68,2.4,2.79,2.11,3.03,887.0,725.0,912.0,828.0,767.0
Gram,Delhi,Rabi,,,,,,,,,,,2000.0,2000.0,2000.0,2000.0,
Gram,Gujarat,Rabi,8.16,11.02,7.64,6.22,8.5,12.8,21.02,12.98,10.66,14.79,1568.0,1908.0,1699.0,1714.0,1741.0
Gram,Haryana,Rabi,0.36,0.38,0.29,0.11,0.21,0.36,0.45,0.26,0.11,0.31,1005.0,1194.0,911.0,1027.0,1456.0
Gram,Himachal Pradesh,Rabi,,,,,,,,,,,1024.0,1231.0,1020.0,1020.0,1090.0
Gram,Jammu And Kashmir,Rabi,,,,,,,,,,,,,200.0,200.0,
Gram,Jharkhand,Rabi,2.66,2.6,2.49,2.39,2.97,3.34,3.09,2.92,2.78,3.57,1257.0,1186.0,1172.0,1167.0,1203.0
Gram,Karnataka,Rabi,7.13,7.12,8.22,6.38,6.75,4.46,4.91,5.59,3.86,4.05,625.0,689.0,680.0,605.0,600.0
Gram,Kerala,Rabi,0.01,,,,,0.01,,,,,837.0,,,,
Gram,Madhya Pradesh,Rabi,21.6,19.36,21.08,21.1,16.92,32.14,29.31,30.95,29.14,24.58,1488.0,1514.0,1468.0,1381.0,1453.0
Gram,Maharashtra,Rabi,22.31,27.09,29.56,26.88,29.06,23.96,31.01,31.75,28.36,30.6,1074.0,1145.0,1074.0,1055.0,1053.0
Gram,Manipur,Rabi,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,925.0,928.0,979.0,980.0,
Gram,Meghalaya,Rabi,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,,1072.0,1072.0,1078.0,1078.0,
Gram,Nagaland,Rabi,0.01,,0.01,0.01,,0.01,,,0.01,,842.0,840.0,827.0,842.0,
Gram,Odisha,Rabi,0.29,0.35,0.38,0.38,0.49,0.23,0.27,0.29,0.29,0.39,773.0,778.0,763.0,763.0,797.0
Gram,Punjab,Rabi,0.02,0.02,0.01,0.01,0.02,0.03,0.02,0.01,0.02,0.03,1322.0,1214.0,1046.0,1395.0,1248.0
Gram,Rajasthan,Rabi,21.13,23.01,19.37,17.75,16.55,22.65,26.85,18.09,19.19,19.75,1072.0,1167.0,934.0,1081.0,1193.0
Gram,Tamil Nadu,Rabi,0.06,0.04,0.04,0.03,0.04,0.05,0.04,0.04,0.03,0.03,926.0,926.0,926.0,926.0,926.0
Gram,Telangana,Rabi,1.43,1.59,1.48,0.97,0.69,2.38,2.24,2.32,1.64,1.11,1667.0,1409.0,1568.0,1686.0,1601.0
Gram,Tripura,Rabi,,,,,,,,,,,636.0,634.0,660.0,660.0,
Gram,Uttar Pradesh,Rabi,6.11,6.08,6.8,6.82,5.97,7.59,8.18,8.98,7.86,6.88,1243.0,1346.0,1321.0,1153.0,1153.0
Gram,Uttarakhand,Rabi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,751.0,790.0,800.0,900.0,847.0
Gram,West Bengal,Rabi,0.4,0.4,0.4,0.39,0.38,0.5,0.48,0.51,0.48,0.47,1259.0,1206.0,1271.0,1242.0,1240.0
